rank,chain,address,season_1_total_dp,season_1_deposit_dp,season_1_referrer_dp,season_1_referee_dp,season_2_total_dp,season_2_deposit_dp,season_2_referrer_dp,season_2_referee_dp,s1_s2_total_dp,all_seasons_total_dp,all_seasons_deposit_dp,all_seasons_referrer_dp,all_seasons_referee_dp,last_updated_at_ms,last_updated_at_utc,status,http_status,error
1,xrpl,rBgUp678tJLr9zr7xZAZaEQ1VSjLAD3xb4,343630618.073918,336864559.916097,6766058.158,0,35830410.958112,35069634.438922,760776.5192,0,379461029.03203,379461029.03203,371934194.355019,7526834.677,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
2,xrpl,r3RRC1WofhM2EhE4NQgBV5x5DjQ1hCgeEe,278247618.421963,278247618.421963,0,0,95105635.890906,95105635.890906,0,0,373353254.312869,373353254.312869,373353254.312869,0,0,1784527388830,2026-07-20T06:03:08.830000+00:00,ok,200,
3,xrpl,rUaD1SAXfjKyaLgyseK3kfwiPUx6wFbfhE,228245249.65566,207496875.078424,0,20748374.577236,74785206.128799,67986551.026189,0,6798655.10261,303030455.784459,303030455.784459,275483426.104613,0,27547029.679846,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
4,xrpl,rhZPsauApniy7KQKpntDYfwz4w862xpHef,183663124.123581,183663124.123581,0,0,55715480.436286,55715480.436286,0,0,239378604.559867,239378604.559867,239378604.559867,0,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
5,xrpl,rNULmyNwiKCgsNWNX8H2Tqm1wfn3tJWyXJ,167091739.413825,167091739.413825,0,0,8035959.08749,8035959.08749,0,0,175127698.501315,175127698.501315,175127698.501315,0,0,1784538088184,2026-07-20T09:01:28.184000+00:00,ok,200,
6,xrpl,r4FXVjJrwtSp3LCt3YFvH5tDLj5fXJJF7D,85299967.598967,84404954.087478,79913.0417,815100.4698,78321270.811655,66949335.89,4677001.329,6694933.589,163621238.410622,163621238.410622,151354289.981098,4756914.37,7510034.059,1784527388830,2026-07-20T06:03:08.830000+00:00,ok,200,
7,xrpl,rhgwVeEHt7vgBpEp4mKVvBe3LxRU4pDG8n,95470634.62111,95470634.62111,0,0,65880795.726958,65880795.726958,0,0,161351430.348068,161351430.348068,161351430.348068,0,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
8,xrpl,rhuWZw5czyQ6oKBpbUqPma9dFM6zrhbEyE,118847302.726106,113064618.226244,2252866.273603,3529818.2262589997,36015767.381233,31190451.365416996,1706270.879297,3119045.1365190004,154863070.107339,154863070.107339,144255069.591660996,3959137.1529,6648863.3627780001,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
9,xrpl,rPwPitd8jok5wFd4e6aRDjPAbgskqG7qT6,0,0,0,0,128659091.862296,116962810.783913,0,11696281.078383,128659091.862296,128659091.862296,116962810.783913,0,11696281.078383,1784541685081,2026-07-20T10:01:25.081000+00:00,ok,200,
10,xrpl,rhZ7qFWrZMqykBJQf32zfFD8ApnMjERjR1,111580546.372868,106527396.5702,0,5053149.802668,9102143.465455,8274675.877673999,0,827467.587781,120682689.838323,120682689.838323,114802072.447873999,0,5880617.390449,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
11,xrpl,ra1mCow3yCPN8JRnExKXXgQKNnEfWbjzEp,81083588.305013999343,50978954.661081001163,25212540.588560000062,4892093.055372999981,22750395.974544998258,13387382.668839998543,8024275.038811000064,1338738.266893999884,103833984.279559001327,103833984.279559001327,64366337.329920999706,33236815.627370998263,6230831.322266999632,1784548965004,2026-07-20T12:02:45.004000+00:00,ok,200,
12,xrpl,rDeZub9G4X8G3rQEtsrGDnouJdxsUiDu24,83556185.8,59532007.354986,18072160.068077,5952018.38,11638009.085479,700034.1705710016,10867971.497880999,70003.41703,95194194.888669,95194194.888669,60232041.5255570016,28940131.565957999,6022021.797,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
13,xrpl,rBiQNvYT9moiQua352bdZt8aox7bXxZ7j6,67912422.714566,67912422.714566,0,0,26965169.674009,25930742.098096,1034427.576,0,94877592.388575,94877592.388575,93843164.812662,1034427.576,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
14,xrpl,rsmjkQ2gVj9wDHAFRrj1XS9yayWjp7Tq7b,6182356.328600999899,6182356.328600999899,0,0,86503859.415742993355,86503859.415742993355,0,0,92686215.744343996048,92686215.744343996048,92686215.744343996048,0,0,1784548965004,2026-07-20T12:02:45.004000+00:00,ok,200,
15,xrpl,rs6knvLaBxcxwvPRjwayqvvaq4USjt4TLE,63297008.842614,57542735.311473005,0,5754273.531141,27457187.011647,24961079.101484,0,2496107.910163,90754195.854261,90754195.854261,82503814.412957005,0,8250381.441304,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
16,xrpl,rPDKeb4EXGHtx1d8MkJQEnwQgqjYxEKf37,89537561.327866002917,89537561.327866002917,0,0,61526.73517,61526.73517,0,0,89599088.063036009669,89599088.063036009669,89599088.063036009669,0,0,1784548965004,2026-07-20T12:02:45.004000+00:00,ok,200,
17,xrpl,rGxLCDnWrsvq1wpk3iLG3NJ1MJ1w8zoAJz,20543067.439046,19500059.869845998,0,1043007.5692,66021415.054104,59960608.851628,64745.317362,5996060.885114,86564482.49315,86564482.49315,79460668.721473998,64745.317362,7039068.454314,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
18,xrpl,rwXadw9guPg5PcDg3yMDKvjbwH1sPHKiT6,62390303.747513,62390303.747513,0,0,21136124.79049,21136124.79049,0,0,83526428.538003,83526428.538003,83526428.538003,0,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
19,xrpl,rpywUEGcVySL4QXuCEtuBbM6zAqCFXd1CD,74183025.418452,67529970.591365,1356.08874,6651698.738347,6781527.918183,6165024.401598,1.076393,616502.440192,80964553.336635,80964553.336635,73694994.992963,1357.165133,7268201.178539,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
20,xrpl,rD7RRkPFqSUYbYFTpDsc7dHkvTGSJbia7t,58045847.563188,58045847.563188,0,0,18692167.435194,18692167.435194,0,0,76738014.998382,76738014.998382,76738014.998382,0,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
21,xrpl,rw1Xb5bhhYcVUpYBNqLGUsm4Se6dDMrpZz,48998094.008032,44877278.058543004,0,4120815.949489,26182354.669269,23802140.608427,0,2380214.060842,75180448.677301,75180448.677301,68679418.666970004,0,6501030.010331,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
22,xrpl,rBsuNnsRB6yBz1FmYQ3T2dVgZXjdrjf5Gw,29306307.619902,26642097.836285,0,2664209.784,42846419.005649,38951290.005147,0,3895129.001,72152726.625551,72152726.625551,65593387.841432,0,6559338.784,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
23,xrpl,r3sezzaWzHg4KEjBgKz43FCsFYq4LE76Ah,45943557.148646,41162973.82,759690.2475,4020893.082,24820637.959219,22564216.326565,0,2256421.633,70764195.107865,70764195.107865,63727190.145405,759690.2475,6277314.715,1784527388830,2026-07-20T06:03:08.830000+00:00,ok,200,
24,xrpl,r3XSyeXci4Hp51ZR5u1Hd9rYFNG6zhdgiR,53969207.738848,44617624.599527,4892093.055373,4459490.083948,14771765.528709,12213164.773137001,1337284.278242,1221316.47733,68740973.267557,68740973.267557,56830789.372664001,6229377.333615,5680806.561278,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
25,xrpl,rLm9ZUCUW5HDhpeBEnfw5upigFpafNqYYy,43164091.922974,43164091.922974,0,0,25477571.175079,25477571.175079,0,0,68641663.098053,68641663.098053,68641663.098053,0,0,1784538088184,2026-07-20T09:01:28.184000+00:00,ok,200,
26,ethereum,0x4f2dbdb2b1723063344f1d5695cab4eae76aa104,0,0,0,0,68178772.892919,3146766.4499240057,64402653.153013,629353.29,68178772.892919,68178772.892919,3146766.4499240057,64402653.153013,629353.29,1784527388830,2026-07-20T06:03:08.830000+00:00,ok,200,
27,xrpl,rYAYM2Jwm4YwSB5sHWwE5vN2YeN7Lxief,31880726.721904,31880726.721904,0,0,22421412.851145,22421412.851145,0,0,54302139.573049,54302139.573049,54302139.573049,0,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
28,xrpl,rHaeBYRmtHxZRhMAdeUMpeDrTdf2QGu8Xt,31483465.372796,31483465.372796,0,0,22421851.620613,22421851.620613,0,0,53905316.993409,53905316.993409,53905316.993409,0,0,1784538088184,2026-07-20T09:01:28.184000+00:00,ok,200,
29,xrpl,rJBoKgoCkKVNRbM62TNSTwKZvh9kcghK5K,0,0,0,0,52834712.482097,52834712.482097,0,0,52834712.482097,52834712.482097,52834712.482097,0,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
30,xrpl,rJ4oXKzST9W3n5vbsGyfbrgpYQBCVNJwfo,37940015.893192,37940015.893192,0,0,12700693.576304,12700693.576304,0,0,50640709.469496,50640709.469496,50640709.469496,0,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
31,xrpl,rwVvWq9SQGVuLYBzjCpQygV7sDfCKjKVNu,29859700.885751,29859700.885751,0,0,19869143.283476,19869143.283476,0,0,49728844.169227,49728844.169227,49728844.169227,0,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
32,xrpl,rJ3aSqKTj8shjZaoZqiSM1yxQQe3f2bDtf,36011220.183808,33164152.52406,10903.0004,2836164.659348,12872343.237106,11561105.125707999,155127.598856,1156110.512542,48883563.420914,48883563.420914,44725257.649767999,166030.599256,3992275.17189,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
33,xrpl,rpLT1jqVuyREDXBfGWd84DcWYbQkDPvptD,36719463.158651,36719463.158651,0,0,10266861.826883,10266861.826883,0,0,46986324.985534,46986324.985534,46986324.985534,0,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
34,xrpl,rn9ywUXWQ8LJTiCmfmuECH2C7sdez3RVR6,21365606.881808001548,18450800.864286001772,147195.69402699999,2767610.323495000135,24940464.321439001709,21201020.025703001767,559291.291871999972,3180153.003864000086,46306071.203247003257,46306071.203247003257,39651820.889989003539,706486.985898999963,5947763.327359000221,1784548965004,2026-07-20T12:02:45.004000+00:00,ok,200,
35,xrpl,rpamw7orxhuDm3MApXtXBtvaAB5vKanFuU,25214416.358604003,21925862.739942003,0,3288553.618662,19231545.742501,16723083.254373003,0,2508462.488128,44445962.101105003,44445962.101105003,38648945.994315006,0,5797016.10679,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
36,xrpl,rKGkSUDaWS7JaaEWfCCrPQXKJdVnUnYJ6c,35605022.856964,35605022.856964,0,0,8231014.670388,8231014.670388,0,0,43836037.527352,43836037.527352,43836037.527352,0,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
37,xrpl,rDXc287ggtcrsmtpJxXRJnWqwhCgqA5j4d,26378769.201175,22083580.257879,2308026.476706,1987162.46659,16730193.857018,13057382.222435,2367073.4123070003,1305738.222276,43108963.058193,43108963.058193,35140962.480314,4675099.8890130003,3292900.688866,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
38,xrpl,rUcb3vzjUCRdsEmRhMXSxhgCYLjP9mwjWn,28261727.599387999624,28261727.599387999624,0,0,13542745.302072999999,13542745.302072999999,0,0,41804472.90146099776,41804472.90146099776,41804472.90146099776,0,0,1784548965004,2026-07-20T12:02:45.004000+00:00,ok,200,
39,xrpl,rhHFF7a97M9s6nzRyeMpUWs7CQgVaCWZAE,32004821.80812,26951672.005452,5053149.802668,0,8463212.941956,7635745.354175,827467.587781,0,40468034.750076,40468034.750076,34587417.359627,5880617.390449,0,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
40,xrpl,rByPjW3ENx7yPgJpwStdPNotv3K9SJqAMc,22274423.45608,22274423.45608,0,0,17232046.472229,17232046.472229,0,0,39506469.928309,39506469.928309,39506469.928309,0,0,1784530876409,2026-07-20T07:01:16.409000+00:00,ok,200,
41,xrpl,rpGi4ydGnXypYkDWkGwhfjTMc2LMq4BVXF,30623679.26396,25289314.036372002,2805550.087546,2528815.140042,8088034.564415,6662148.872237,759670.804348,666214.88783,38711713.828375,38711713.828375,31951462.908609002,3565220.891894,3195030.027872,1784541797487,2026-07-20T10:03:17.487000+00:00,ok,200,
