source_rank,blockchain,earning_address,registered,receiving_base_address,registered_at_ms,registered_at_utc,all_seasons_total_dp,season_1_total_dp,season_2_total_dp,all_seasons_deposit_dp,all_seasons_referrer_dp,all_seasons_referee_dp,source_status,query_status,http_status,attempts,queried_at_utc,error
1,xrpl,rBgUp678tJLr9zr7xZAZaEQ1VSjLAD3xb4,true,0x0796343999a48d4da7f7f451d534a8f1122e5155,1785009652216,2026-07-25T20:00:52.216Z,379461029.03203,343630618.073918,35830410.958112,371934194.355019,7526834.677,0,ok,ok,200,1,2026-08-05T02:31:21.588Z,
2,xrpl,r3RRC1WofhM2EhE4NQgBV5x5DjQ1hCgeEe,true,0x878b91e76d8d35f682a46f698436a2b2632b85ea,1784986887510,2026-07-25T13:41:27.510Z,373353254.312869,278247618.421963,95105635.890906,373353254.312869,0,0,ok,ok,200,1,2026-08-05T02:31:21.779Z,
3,xrpl,rUaD1SAXfjKyaLgyseK3kfwiPUx6wFbfhE,true,0x27206c6c93a396d35c2689211e4d4900a2b5bb1e,1784644414289,2026-07-21T14:33:34.289Z,303030455.784459,228245249.65566,74785206.128799,275483426.104613,0,27547029.679846,ok,ok,200,1,2026-08-05T02:31:21.902Z,
4,xrpl,rhZPsauApniy7KQKpntDYfwz4w862xpHef,true,0x52b4d4ab470a99a61d00dad3de0b9f8d997f67f8,1784637242973,2026-07-21T12:34:02.973Z,239378604.559867,183663124.123581,55715480.436286,239378604.559867,0,0,ok,ok,200,1,2026-08-05T02:31:22.088Z,
5,xrpl,rNULmyNwiKCgsNWNX8H2Tqm1wfn3tJWyXJ,true,0x338631548bdc0800fd5a50cc92d421783abaacf6,1784644233167,2026-07-21T14:30:33.167Z,175127698.501315,167091739.413825,8035959.08749,175127698.501315,0,0,ok,ok,200,1,2026-08-05T02:31:21.954Z,
6,xrpl,r4FXVjJrwtSp3LCt3YFvH5tDLj5fXJJF7D,true,0xd7266bdfe20b53f0255774812d6ab387a27af77e,1784680305656,2026-07-22T00:31:45.656Z,163621238.410622,85299967.598967,78321270.811655,151354289.981098,4756914.37,7510034.059,ok,ok,200,1,2026-08-05T02:31:22.187Z,
7,xrpl,rhgwVeEHt7vgBpEp4mKVvBe3LxRU4pDG8n,true,0x19e24bd38a27ba7eff0a7491e307134e3e19f167,1784673985918,2026-07-21T22:46:25.918Z,161351430.348068,95470634.62111,65880795.726958,161351430.348068,0,0,ok,ok,200,1,2026-08-05T02:31:22.353Z,
8,xrpl,rhuWZw5czyQ6oKBpbUqPma9dFM6zrhbEyE,true,0x76467d7de017b2192b14c96313aeb658708995a9,1784668952805,2026-07-21T21:22:32.805Z,154863070.107339,118847302.726106,36015767.381233,144255069.591660996,3959137.1529,6648863.3627780001,ok,ok,200,1,2026-08-05T02:31:23.156Z,
9,xrpl,rPwPitd8jok5wFd4e6aRDjPAbgskqG7qT6,true,0x84a71d95187364f52b0465ada46e0370ba2685d0,1784782796819,2026-07-23T04:59:56.819Z,128659091.862296,0,128659091.862296,116962810.783913,0,11696281.078383,ok,ok,200,1,2026-08-05T02:31:23.309Z,
10,xrpl,rhZ7qFWrZMqykBJQf32zfFD8ApnMjERjR1,true,0xae4783c3afda170d7b29cee976e1187c6e79fe84,1784896735282,2026-07-24T12:38:55.282Z,120682689.838323,111580546.372868,9102143.465455,114802072.447873999,0,5880617.390449,ok,ok,200,1,2026-08-05T02:31:23.465Z,
11,xrpl,ra1mCow3yCPN8JRnExKXXgQKNnEfWbjzEp,true,0x27206c6c93a396d35c2689211e4d4900a2b5bb1e,1784644759484,2026-07-21T14:39:19.484Z,103833984.279559001327,81083588.305013999343,22750395.974544998258,64366337.329920999706,33236815.627370998263,6230831.322266999632,ok,ok,200,1,2026-08-05T02:31:23.869Z,
12,xrpl,rDeZub9G4X8G3rQEtsrGDnouJdxsUiDu24,true,0xfaf97b50e112bb1044813dcc5b8b0336bfb54742,1784644942580,2026-07-21T14:42:22.580Z,95194194.888669,83556185.8,11638009.085479,60232041.5255570016,28940131.565957999,6022021.797,ok,ok,200,1,2026-08-05T02:31:24.055Z,
13,xrpl,rBiQNvYT9moiQua352bdZt8aox7bXxZ7j6,true,0xdf54b322123811d5aafef1e588e345ba5ae51cc9,1784638280406,2026-07-21T12:51:20.406Z,94877592.388575,67912422.714566,26965169.674009,93843164.812662,1034427.576,0,ok,ok,200,1,2026-08-05T02:31:24.050Z,
15,xrpl,rs6knvLaBxcxwvPRjwayqvvaq4USjt4TLE,true,0xf723bc950fabb459be458c7e85f82dc18d252ae9,1784638592173,2026-07-21T12:56:32.173Z,90754195.854261,63297008.842614,27457187.011647,82503814.412957005,0,8250381.441304,ok,ok,200,1,2026-08-05T02:31:24.098Z,
16,xrpl,rPDKeb4EXGHtx1d8MkJQEnwQgqjYxEKf37,true,0xe79210c952a8944bd6d820ff4e624ed3272aafb4,1784824487542,2026-07-23T16:34:47.542Z,89599088.063036009669,89537561.327866002917,61526.73517,89599088.063036009669,0,0,ok,ok,200,1,2026-08-05T02:31:24.299Z,
17,xrpl,rGxLCDnWrsvq1wpk3iLG3NJ1MJ1w8zoAJz,true,0x7b2bb473d54bd55dc6b0cdbff4520bce96c91deb,1784641307187,2026-07-21T13:41:47.187Z,86564482.49315,20543067.439046,66021415.054104,79460668.721473998,64745.317362,7039068.454314,ok,ok,200,1,2026-08-05T02:31:24.538Z,
19,xrpl,rpywUEGcVySL4QXuCEtuBbM6zAqCFXd1CD,true,0xeb3eabfa281c0c82258941fc8efa76f83f762827,1785257606331,2026-07-28T16:53:26.331Z,80964553.336635,74183025.418452,6781527.918183,73694994.992963,1357.165133,7268201.178539,ok,ok,200,1,2026-08-05T02:31:24.905Z,
22,xrpl,rBsuNnsRB6yBz1FmYQ3T2dVgZXjdrjf5Gw,true,0x76addf75c40177c0e50d80df89d23c4847dbf349,1784723571454,2026-07-22T12:32:51.454Z,72152726.625551,29306307.619902,42846419.005649,65593387.841432,0,6559338.784,ok,ok,200,1,2026-08-05T02:31:25.497Z,
23,xrpl,r3sezzaWzHg4KEjBgKz43FCsFYq4LE76Ah,true,0xb2fa7182a4aad85fd7bcd4fa74097d60fedb37ea,1784647615178,2026-07-21T15:26:55.178Z,70764195.107865,45943557.148646,24820637.959219,63727190.145405,759690.2475,6277314.715,ok,ok,200,1,2026-08-05T02:31:25.739Z,
24,xrpl,r3XSyeXci4Hp51ZR5u1Hd9rYFNG6zhdgiR,true,0x27206c6c93a396d35c2689211e4d4900a2b5bb1e,1784644649511,2026-07-21T14:37:29.511Z,68740973.267557,53969207.738848,14771765.528709,56830789.372664001,6229377.333615,5680806.561278,ok,ok,200,1,2026-08-05T02:31:25.943Z,
26,ethereum,0x4f2dbdb2b1723063344f1d5695cab4eae76aa104,true,0x4f2dbdb2b1723063344f1d5695cab4eae76aa104,1784639768629,2026-07-21T13:16:08.629Z,68178772.892919,0,68178772.892919,3146766.4499240057,64402653.153013,629353.29,ok,ok,200,1,2026-08-05T02:31:26.339Z,
27,xrpl,rYAYM2Jwm4YwSB5sHWwE5vN2YeN7Lxief,true,0x30d63d9e30f424f067d640e46663c97a554cbc01,1785263078906,2026-07-28T18:24:38.906Z,54302139.573049,31880726.721904,22421412.851145,54302139.573049,0,0,ok,ok,200,1,2026-08-05T02:31:26.538Z,
28,xrpl,rHaeBYRmtHxZRhMAdeUMpeDrTdf2QGu8Xt,true,0xa6088b87759c7b8747f8c6634b4c6fb3e1d6094e,1785265046108,2026-07-28T18:57:26.108Z,53905316.993409,31483465.372796,22421851.620613,53905316.993409,0,0,ok,ok,200,1,2026-08-05T02:31:26.734Z,
