"Rank","Address","XDP Allocation","Raw Amount","Block","Tx Hash"
"1","0x27206c6c93a396d35c2689211e4d4900a2b5bb1e","3810174.281130738856518769","3810174281130738856518769","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"2","0x0796343999a48d4da7f7f451d534a8f1122e5155","2680117.613988643966367191","2680117613988643966367191","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"3","0x878b91e76d8d35f682a46f698436a2b2632b85ea","2566155.752802524346226594","2566155752802524346226594","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"4","0x52b4d4ab470a99a61d00dad3de0b9f8d997f67f8","1644774.591916392160799049","1644774591916392160799049","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"5","0x338631548bdc0800fd5a50cc92d421783abaacf6","1346112.280249012555757713","1346112280249012555757713","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"6","0xd7266bdfe20b53f0255774812d6ab387a27af77e","1209250.063308492216449065","1209250063308492216449065","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"7","0x76467d7de017b2192b14c96313aeb658708995a9","1136942.970595314901640974","1136942970595314901640974","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"8","0x19e24bd38a27ba7eff0a7491e307134e3e19f167","1108733.968827048147906351","1108733968827048147906351","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"9","0x4f2dbdb2b1723063344f1d5695cab4eae76aa104","1015270.273772996115485293","1015270273772996115485293","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"10","0x84a71d95187364f52b0465ada46e0370ba2685d0","965594.220883167592717201","965594220883167592717201","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"11","0xfaf97b50e112bb1044813dcc5b8b0336bfb54742","894408.6322679907726491","894408632267990772649100","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"12","0xae4783c3afda170d7b29cee976e1187c6e79fe84","869647.710876452790874673","869647710876452790874673","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"13","0xf723bc950fabb459be458c7e85f82dc18d252ae9","862403.974859711141321141","862403974859711141321141","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"14","0x76addf75c40177c0e50d80df89d23c4847dbf349","837862.517107545557366542","837862517107545557366542","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"15","0xfcc81ebf56841258cf027d823e5cfdc50f4e659a","794700.757950918778681676","794700757950918778681676","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"16","0xdf54b322123811d5aafef1e588e345ba5ae51cc9","774520.471259523127311806","774520471259523127311806","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"17","0x3fcf78e9d34a0177a7c2ca28ae5a9862c57f8525","750000","750000000000000000000000","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"18","0x5535c7c08bd04c0ee3d2ab0729d1147e65f73579","742971.85929602691034809","742971859296026910348090","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"19","0xe79210c952a8944bd6d820ff4e624ed3272aafb4","717941.73135955109842047","717941731359551098420470","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"20","0x14611eb26013bbed4aa514a44bfc0e4c3e06224a","675786.639076413253237652","675786639076413253237652","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"21","0xa4831d804c1b87121bdc2c75cb234ee548d04d75","667493.464330098167430532","667493464330098167430532","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"22","0x7b2bb473d54bd55dc6b0cdbff4520bce96c91deb","644318.941519872775179859","644318941519872775179859","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"23","0xeb3eabfa281c0c82258941fc8efa76f83f762827","606202.408256621107061668","606202408256621107061668","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"24","0xb2fa7182a4aad85fd7bcd4fa74097d60fedb37ea","534761.918832458990493312","534761918832458990493312","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"25","0x5cababe9fb9d47c53be7619285f9702d70965f6b","523402.510576915243707116","523402510576915243707116","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"26","0xa09702df4754ed369ef4c003da4582c25a29fd19","440690.793123926037751268","440690793123926037751268","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"27","0x79bcb20738663cdbc48185af2e15492f00acda5d","435902.009768156125671114","435902009768156125671114","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"28","0x4f3046c4a371a6ae0f4fbb151e62d9db02c3caba","398745.947387809761173744","398745947387809761173744","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"29","0xfadf5083f0ac449961a8a072370021706f723321","387653.250694539165880763","387653250694539165880763","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"30","0x2ef8bd5232d7f97493ad0a760e04a29f789d537b","384775.948576926433968298","384775948576926433968298","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"31","0x9c0202c7d0008bf8ca42b885543480cde820c788","378318.208272069582838357","378318208272069582838357","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"32","0x30d63d9e30f424f067d640e46663c97a554cbc01","373072.985542172172833285","373072985542172172833285","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"33","0xa6088b87759c7b8747f8c6634b4c6fb3e1d6094e","370346.688374128526730261","370346688374128526730261","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"34","0x96095d01d40b4f8c6e33a7d4f888cc2d320537cc","365524.086941897480885378","365524086941897480885378","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"35","0xa4acdace5b8a39eb2f900a8a0e333082525d70e1","363854.268040446017185212","363854268040446017185212","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"36","0x8a2d12cf5c93631ecd558df8e8e0d1317a46fb35","345251.090242868993274781","345251090242868993274781","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"37","0x0c20d9c872475fa722876c90459bb387c56a2ecb","341707.483856508445080934","341707483856508445080934","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"38","0x17761b5f07c1820b5d4e0de03e01f2bc019ecc9d","317118.291044708260637794","317118291044708260637794","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"39","0x663f5fe05233acedaf5e4876d3ad01de46991318","312433.687792716008724477","312433687792716008724477","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"40","0x5f405b8e0d066ac97ffaf9bdbffe0596b1416054","301222.568478021165820153","301222568478021165820153","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"41","0xe027b87e116aab1ea608de1e1489f7c6d1bfb9f8","284427.019300144285335537","284427019300144285335537","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"42","0x5471c5c88134b32a2e56b98b493f934098b50edc","281632.129461739255342762","281632129461739255342762","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"43","0xd3b877c0afe99e760e5596b1520fd00cf568b4e7","272355.023442479245926225","272355023442479245926225","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"44","0xb022d4be0908305104f41697232b8aa9bb652fcb","254387.427014848275258429","254387427014848275258429","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
"45","0x78eb593cc4d8f63933f0d0f70b318defbc3ac706","253920.799801972541625309","253920799801972541625309","51115411","0xe479692caeeddc05c74f9000c9c1034afa63777a4f7c39f9852407cde44c2052"
